title,count,mean,std,min,25%,50%,75%,max
蔚蓝国际,1.0,5989.0,,5989.0,5989.0,5989.0,5989.0,5989.0
虎滩路,3.0,14102.0,2655.0,11184.0,12966.0,14747.0,15561.0,16375.0
虹桥干休所,7.0,15638.0,1894.0,12006.0,15044.0,16405.0,16690.0,17591.0
虹港新居,36.0,15463.0,1605.0,12010.0,14498.0,15238.0,16638.0,18120.0
虹港路（机场商圈）,39.0,14229.0,1784.0,11014.0,12644.0,14617.0,15622.0,18635.0
融创海逸长洲,12.0,16380.0,1171.0,14553.0,15511.0,16532.0,17148.0,18519.0
融创海逸长洲一期,11.0,16484.0,3287.0,12336.0,14195.0,15491.0,18162.0,24052.0
融创海逸长洲二期,40.0,15017.0,1449.0,11572.0,14290.0,14970.0,16103.0,16924.0
融庄,2.0,23480.0,3422.0,21061.0,22271.0,23480.0,24690.0,25900.0
衡逸园一期,3.0,20734.0,591.0,20154.0,20433.0,20712.0,21024.0,21336.0
裕和苑,1.0,9837.0,,9837.0,9837.0,9837.0,9837.0,9837.0
裕和苑小区,1.0,9339.0,,9339.0,9339.0,9339.0,9339.0,9339.0
裕民新苑,62.0,9071.0,704.0,7231.0,8589.0,9094.0,9544.0,10962.0
裕民街,15.0,15666.0,1573.0,13114.0,14131.0,15993.0,16929.0,18050.0
西关街,47.0,12245.0,1814.0,7587.0,11266.0,12157.0,13418.0,15713.0
西南路（春柳商圈）,16.0,12893.0,3322.0,9480.0,11634.0,12130.0,13078.0,24721.0
西南路（辽师商圈）,1.0,8202.0,,8202.0,8202.0,8202.0,8202.0,8202.0
西厢街,1.0,9590.0,,9590.0,9590.0,9590.0,9590.0,9590.0
西安路公寓,29.0,15253.0,1480.0,12771.0,13684.0,15384.0,16452.0,17531.0
西安路（和平广场商圈）,1.0,11790.0,,11790.0,11790.0,11790.0,11790.0,11790.0
西山园中园,1.0,21598.0,,21598.0,21598.0,21598.0,21598.0,21598.0
西山巷,23.0,11094.0,1590.0,8223.0,9980.0,10932.0,12434.0,13541.0
西山湖语,12.0,19078.0,4975.0,15382.0,16802.0,17254.0,18094.0,31264.0
西山逸林,32.0,15029.0,806.0,13817.0,14375.0,14917.0,15468.0,17776.0
西山阳光水岸,45.0,16308.0,1834.0,9911.0,15665.0,16351.0,17046.0,23274.0
西村街,3.0,15547.0,1632.0,14388.0,14614.0,14840.0,16126.0,17413.0
西沟小区,24.0,13753.0,1455.0,11529.0,12606.0,13745.0,14758.0,16984.0
西班牙印象,2.0,6739.0,276.0,6544.0,6642.0,6739.0,6836.0,6934.0
西苑小区,30.0,13664.0,1478.0,9481.0,13038.0,13865.0,14462.0,16180.0
西苑新区,2.0,14474.0,535.0,14096.0,14285.0,14474.0,14664.0,14853.0
西街晶品,11.0,19717.0,1713.0,17497.0,18594.0,19253.0,20530.0,22823.0
西郊棠梨园,9.0,13072.0,958.0,11985.0,12224.0,13211.0,13877.0,14253.0
西郊闲庭,14.0,13924.0,949.0,12287.0,13236.0,13926.0,14808.0,15082.0
西雅图,16.0,10800.0,1786.0,6995.0,10016.0,10670.0,11452.0,15921.0
西麓街,10.0,12375.0,2238.0,9361.0,10942.0,12047.0,12967.0,16217.0
观山悦,50.0,10021.0,1221.0,7618.0,9179.0,10038.0,10584.0,12933.0
观山满庭芳,84.0,18580.0,3051.0,14495.0,16481.0,18382.0,19590.0,31412.0
观山蝶恋花,43.0,15399.0,1078.0,12879.0,14870.0,15368.0,16155.0,17708.0
观象街（南山商圈）,8.0,20729.0,2464.0,16795.0,18640.0,21591.0,22229.0,23718.0
观象街（武昌街商圈）,2.0,15250.0,363.0,14993.0,15122.0,15250.0,15378.0,15507.0
解放街,17.0,26256.0,2485.0,21903.0,25105.0,26070.0,27266.0,31998.0
解放路（武昌街商圈）,1.0,14580.0,,14580.0,14580.0,14580.0,14580.0,14580.0
解放路（青云街商圈）,8.0,12742.0,1406.0,10122.0,11937.0,13164.0,13641.0,14461.0
警后大院（三八广场）,9.0,13489.0,1496.0,11582.0,11789.0,13637.0,14547.0,15356.0
诚泰文教城,5.0,5858.0,849.0,4525.0,5918.0,5927.0,6029.0,6891.0
谷和温馨苑,1.0,20342.0,,20342.0,20342.0,20342.0,20342.0,20342.0
谷歌里,84.0,16621.0,2522.0,12138.0,14837.0,16162.0,18012.0,24583.0
豪森茗家,4.0,25046.0,1787.0,22914.0,23981.0,25155.0,26220.0,26962.0
赛维利大厦,36.0,21714.0,2221.0,18344.0,20197.0,21529.0,23240.0,26052.0
路通花园,3.0,6279.0,482.0,5789.0,6042.0,6296.0,6524.0,6752.0
车家村,46.0,12062.0,1899.0,8404.0,10637.0,11949.0,13508.0,16223.0
转山小区,9.0,12611.0,1764.0,9947.0,10850.0,13400.0,13698.0,15006.0
软件园小区,74.0,15244.0,1832.0,10512.0,14989.0,15713.0,16240.0,18000.0
软景E居,132.0,28721.0,1926.0,20166.0,27737.0,28692.0,30074.0,33266.0
轴百散盘,2.0,5166.0,260.0,4982.0,5074.0,5166.0,5257.0,5349.0
辰熙星海国际,20.0,15265.0,1099.0,13914.0,14637.0,15073.0,15512.0,17720.0
辽师,69.0,12933.0,1580.0,9679.0,11887.0,13242.0,14083.0,16482.0
达赫山庄,9.0,13080.0,2372.0,11547.0,11863.0,12415.0,12628.0,19149.0
迎客路（机场商圈）,54.0,14510.0,1769.0,9505.0,13382.0,14903.0,15751.0,17457.0
迎春三巷,3.0,14374.0,1731.0,13110.0,13388.0,13665.0,15006.0,16347.0
迎春四巷,1.0,12755.0,,12755.0,12755.0,12755.0,12755.0,12755.0
迎春花园,1.0,10034.0,,10034.0,10034.0,10034.0,10034.0,10034.0
迎春街（旅顺口）,6.0,5286.0,1536.0,3552.0,4038.0,5193.0,6382.0,7345.0
运达嘉洲阳光,22.0,19925.0,1802.0,16831.0,18807.0,19711.0,21374.0,23305.0
运达诺维溪谷一期,64.0,16560.0,3573.0,12719.0,14568.0,15265.0,16506.0,27522.0
运达诺维溪谷三期,2.0,22729.0,7900.0,17143.0,19936.0,22729.0,25522.0,28315.0
运达诺维溪谷二期,42.0,15288.0,2744.0,12751.0,13934.0,14660.0,15364.0,25988.0
运达诺维溪谷四期,10.0,15262.0,893.0,14090.0,14676.0,15144.0,15545.0,17147.0
